meter,time_relative,density_percentage_unten,density_percentage_mitte,density_percentage_oben,grid_density_unten,grid_density_mitte,grid_density_oben,valve_commands_unten,valve_commands_mitte,valve_commands_oben,pump_pwm_command
1,0.0006096363067626953,0,0,0,5998,6427,4681,100.0,100.0,100.0,0.0
2,1.563783884048462,0,0,0,4764,5011,3600,85.57903289794922,88.16605377197266,80.53369903564453,0.0
3,3.1206302642822266,0,0,0,3700,3730,3015,71.33087158203125,72.7011489868164,67.84758758544922,0.0
4,4.680796384811401,0,0,0,2410,4042,4111,54.14723587036133,76.40921783447266,91.33244323730469,0.0
5,6.243398427963257,0,0,0,3807,2427,4790,72.67505645751953,57.01645278930664,100.0,0.0
6,7.807499885559082,0,0,0,5532,3980,2912,95.94708251953125,75.86486053466797,65.84932708740234,0.0
7,9.36033582687378,0,0,0,477,524,333,0.0,0.0,0.0,0.0

# Summary
# start_time,0
# end_time,29.49439311027527
# total_meters,7
